id,framework,domain,sub_domain,control
PCI DSS v4.0-8.5.1,PCI DSS v4.0,Requirement 8: Identify Users and Authenticate Access to System Components,8.5 Multi-factor authentication is implemented to secure access to the CDE.,"8.5.1 MFA systems are implemented as follows: • The MFA system is not susceptible to replay attacks. • MFA systems cannot be bypassed by any users, including administrative users unless specifically documented, and authorized by management on an exception basis, for a limited time period.  • At least two different types of authentication factors are used. • Success of all authentication factors is required before access is granted. Applicability Notes This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment."
PCI DSS v4.0-8.6.1,PCI DSS v4.0,Requirement 8: Identify Users and Authenticate Access to System Components,8.6 Use of application and system accounts and associated authentication factors are strictly managed.,"8.6.1 If accounts used by systems or applications can be used for interactive login, they are managed as follows:  • Interactive use is prevented unless needed for an exceptional circumstance. • Interactive use is limited to the time needed for the exceptional circumstance. • Business justification for interactive use is documented. • Interactive use is explicitly approved by management.  • Individual user identity is confirmed before access to account is granted. • Every action taken is attributable to an individual user.  Applicability Notes This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment."
PCI DSS v4.0-8.6.2,PCI DSS v4.0,Requirement 8: Identify Users and Authenticate Access to System Components,8.6 Use of application and system accounts and associated authentication factors are strictly managed.,"8.6.2 Passwords/passphrases for any application and system accounts that can be used for interactive login are not hard coded in scripts, configuration/property files, or bespoke and custom source code. Note: stored passwords/ passphrases are required to be encrypted in accordance with PCI DSS Requirement 8.3.2. Applicability Notes Stored passwords/passphrases are required to be encrypted in accordance with PCI DSS Requirement 8.3.2. This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment."
PCI DSS v4.0-8.6.3,PCI DSS v4.0,Requirement 8: Identify Users and Authenticate Access to System Components,8.6 Use of application and system accounts and associated authentication factors are strictly managed.,"8.6.3 Passwords/passphrases for any application and system accounts are protected against misuse as follows:  • Passwords/passphrases are changed periodically (at the frequency defined in the entity’s targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1) and upon suspicion or confirmation of compromise. • Passwords/passphrases are constructed with sufficient complexity appropriate for how frequently the entity changes the passwords/passphrases.  Applicability Notes This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment."
PCI DSS v4.0-9.1.1,PCI DSS v4.0,Requirement 9: Restrict Physical Access to Cardholder Data,9.1 Processes and mechanisms for performing activities in Requirement 9 are defined and understood.,9.1.1 All security policies and operational procedures that are identified in Requirement 9 are: • Documented.  • Kept up to date.  • In use. • Known to all affected parties.
PCI DSS v4.0-9.1.2,PCI DSS v4.0,Requirement 9: Restrict Physical Access to Cardholder Data,9.1 Processes and mechanisms for performing activities in Requirement 9 are defined and understood.,"9.1.2 Roles and responsibilities for performing activities in Requirement 9 are documented, assigned, and understood. New requirement - effective immediately"
PCI DSS v4.0-9.2.1,PCI DSS v4.0,Requirement 9: Restrict Physical Access to Cardholder Data,9.2 Physical access controls manage entry into the cardholder data environment.,9.2.1 Appropriate facility entry controls are in place to restrict physical access to systems in the CDE.
PCI DSS v4.0-9.2.1.1,PCI DSS v4.0,Requirement 9: Restrict Physical Access to Cardholder Data,9.2 Physical access controls manage entry into the cardholder data environment.,"9.2.1.1 Individual physical access to sensitive areas within the CDE is monitored with either video cameras or physical access control mechanisms (or both) as follows: • Entry and exit points to/from sensitive areas within the CDE are monitored.  • Monitoring devices or mechanisms are protected from tampering or disabling. • Collected data is reviewed and correlated with other entries. • Collected data is stored for at least three months, unless otherwise restricted by law."
PCI DSS v4.0-9.2.2,PCI DSS v4.0,Requirement 9: Restrict Physical Access to Cardholder Data,9.2 Physical access controls manage entry into the cardholder data environment.,9.2.2 Physical and/or logical controls are implemented to restrict use of publicly accessible network jacks within the facility.
PCI DSS v4.0-9.2.3,PCI DSS v4.0,Requirement 9: Restrict Physical Access to Cardholder Data,9.2 Physical access controls manage entry into the cardholder data environment.,"9.2.3 Physical access to wireless access points, gateways, networking/communications hardware, and telecommunication lines within the facility is restricted."
PCI DSS v4.0-9.2.4,PCI DSS v4.0,Requirement 9: Restrict Physical Access to Cardholder Data,9.2 Physical access controls manage entry into the cardholder data environment.,9.2.4 Access to consoles in sensitive areas is restricted via locking when not in use.
PCI DSS v4.0-9.3.1,PCI DSS v4.0,Requirement 9: Restrict Physical Access to Cardholder Data,9.3 Physical access to the cardholder data environment for personnel and visitors is authorized and managed.,"9.3.1 Procedures are implemented for authorizing and managing physical access of personnel to the CDE, including: •  Identifying personnel. • Managing changes to an individual’s physical access requirements. •  Revoking or terminating personnel identification. •  Limiting access to the identification process or system to authorized personnel."
PCI DSS v4.0-9.3.1.1,PCI DSS v4.0,Requirement 9: Restrict Physical Access to Cardholder Data,9.3 Physical access to the cardholder data environment for personnel and visitors is authorized and managed.,"9.3.1.1 Physical access to sensitive areas within the CDE for personnel is controlled as follows: • Access is authorized and based on individual job function. • Access is revoked immediately upon termination. • All physical access mechanisms, such as keys, access cards, etc., are returned or disabled upon termination."
PCI DSS v4.0-9.3.2,PCI DSS v4.0,Requirement 9: Restrict Physical Access to Cardholder Data,9.3 Physical access to the cardholder data environment for personnel and visitors is authorized and managed.,"9.3.2 Procedures are implemented for authorizing and managing visitor access to the CDE, including: • Visitors are authorized before entering. • Visitors are escorted at all times. • Visitors are clearly identified and given a badge or other identification that expires. • Visitor badges or other identification visibly distinguishes visitors from personnel."
PCI DSS v4.0-9.3.3,PCI DSS v4.0,Requirement 9: Restrict Physical Access to Cardholder Data,9.3 Physical access to the cardholder data environment for personnel and visitors is authorized and managed.,9.3.3 Visitor badges or identification are surrendered or deactivated before visitors leave the facility or at the date of expiration.
PCI DSS v4.0-9.3.4,PCI DSS v4.0,Requirement 9: Restrict Physical Access to Cardholder Data,9.3 Physical access to the cardholder data environment for personnel and visitors is authorized and managed.,"9.3.4 A visitor log is used to maintain a physical record of visitor activity within the facility and within sensitive areas, including:  • The visitor’s name and the organization represented. • The date and time of the visit. • The name of the personnel authorizing physical access.  • Retaining the log for at least three months, unless otherwise restricted by law."
PCI DSS v4.0-9.4.1,PCI DSS v4.0,Requirement 9: Restrict Physical Access to Cardholder Data,"9.4 Media with cardholder data is securely stored, accessed, distributed, and destroyed.",9.4.1 All media with cardholder data is physically secured.
PCI DSS v4.0-9.4.1.1,PCI DSS v4.0,Requirement 9: Restrict Physical Access to Cardholder Data,"9.4 Media with cardholder data is securely stored, accessed, distributed, and destroyed.",9.4.1.1 Offline media backups with cardholder data are stored in a secure location.
PCI DSS v4.0-9.4.1.2,PCI DSS v4.0,Requirement 9: Restrict Physical Access to Cardholder Data,"9.4 Media with cardholder data is securely stored, accessed, distributed, and destroyed.",9.4.1.2 The security of the offline media backup location(s) with cardholder data is reviewed at least once every 12 months.
PCI DSS v4.0-9.4.2,PCI DSS v4.0,Requirement 9: Restrict Physical Access to Cardholder Data,"9.4 Media with cardholder data is securely stored, accessed, distributed, and destroyed.",9.4.2 All media with cardholder data is classified in accordance with the sensitivity of the data.
PCI DSS v4.0-9.4.3,PCI DSS v4.0,Requirement 9: Restrict Physical Access to Cardholder Data,"9.4 Media with cardholder data is securely stored, accessed, distributed, and destroyed.",9.4.3 Media with cardholder data sent outside the facility is secured as follows: • Media sent outside the facility is logged. • Media is sent by secured courier or other delivery method that can be accurately tracked. • Offsite tracking logs include details about media location.
PCI DSS v4.0-9.4.4,PCI DSS v4.0,Requirement 9: Restrict Physical Access to Cardholder Data,"9.4 Media with cardholder data is securely stored, accessed, distributed, and destroyed.","9.4.4 Management approves all media with cardholder data that is moved outside the facility (including when media is distributed to individuals). Applicability Notes Individuals approving media movements should have the appropriate level of management authority to grant this approval. However, it is not specifically required that such individuals have “manager” as part of their title."
PCI DSS v4.0-9.4.5,PCI DSS v4.0,Requirement 9: Restrict Physical Access to Cardholder Data,"9.4 Media with cardholder data is securely stored, accessed, distributed, and destroyed.",9.4.5 Inventory logs of all electronic media with cardholder data are maintained.
PCI DSS v4.0-9.4.5.1,PCI DSS v4.0,Requirement 9: Restrict Physical Access to Cardholder Data,"9.4 Media with cardholder data is securely stored, accessed, distributed, and destroyed.",9.4.5.1 Inventories of electronic media with cardholder data are conducted at least once every 12 months.
PCI DSS v4.0-9.4.6,PCI DSS v4.0,Requirement 9: Restrict Physical Access to Cardholder Data,"9.4 Media with cardholder data is securely stored, accessed, distributed, and destroyed.","9.4.6 Hard-copy materials with cardholder data are destroyed when no longer needed for business or legal reasons, as follows: • Materials are cross-cut shredded, incinerated, or pulped so that cardholder data cannot be reconstructed.  • Materials are stored in secure storage containers prior to destruction.  Applicability Notes These requirements for media destruction when that media is no longer needed for business or legal reasons are separate and distinct from PCI DSS Requirement 3.2.1, which is for securely deleting cardholder data when no longer needed per the entity’s cardholder data retention policies."
PCI DSS v4.0-9.4.7,PCI DSS v4.0,Requirement 9: Restrict Physical Access to Cardholder Data,"9.4 Media with cardholder data is securely stored, accessed, distributed, and destroyed.","9.4.7 Electronic media with cardholder data is destroyed when no longer needed for business or legal reasons via one of the following:  • The electronic media is destroyed. • The cardholder data is rendered unrecoverable so that it cannot be reconstructed.  Applicability Notes These requirements for media destruction when that media is no longer needed for business or legal reasons are separate and distinct from PCI DSS Requirement 3.2.1, which is for securely deleting cardholder data when no longer needed per the entity’s cardholder data retention policies."
PCI DSS v4.0-9.5.1,PCI DSS v4.0,Requirement 9: Restrict Physical Access to Cardholder Data,9.5 Point-of-interaction (POI) devices are protected from tampering and unauthorized substitution.,"9.5.1 POI devices that capture payment card data via direct physical interaction with the payment card form factor are protected from tampering and unauthorized substitution, including the following: • Maintaining a list of POI devices.  • Periodically inspecting POI devices to look for tampering or unauthorized substitution.  • Training personnel to be aware of suspicious behavior and to report tampering or unauthorized substitution of devices. Applicability Notes These requirements apply to deployed POI devices used in card-present transactions (that is, a payment card form factor such as a card that is swiped, tapped, or dipped). This requirement is not intended to apply to manual PAN key-entry components such as computer keyboards. This requirement is recommended, but not required, for manual PAN key-entry components such as computer keyboards.  This requirement does not apply to commercial off-the-shelf (COTS) devices (for example, smartphones or tablets), which are mobile merchant-owned devices designed for mass-market distribution."
PCI DSS v4.0-9.5.1.1,PCI DSS v4.0,Requirement 9: Restrict Physical Access to Cardholder Data,9.5 Point-of-interaction (POI) devices are protected from tampering and unauthorized substitution.,"9.5.1.1 An up-to-date list of POI devices is maintained, including: • Make and model of the device.  • Location of device.  • Device serial number or other methods of unique identification."
PCI DSS v4.0-9.5.1.2,PCI DSS v4.0,Requirement 9: Restrict Physical Access to Cardholder Data,9.5 Point-of-interaction (POI) devices are protected from tampering and unauthorized substitution.,9.5.1.2 POI device surfaces are periodically inspected to detect tampering and unauthorized substitution.
PCI DSS v4.0-9.5.1.2.1,PCI DSS v4.0,Requirement 9: Restrict Physical Access to Cardholder Data,9.5 Point-of-interaction (POI) devices are protected from tampering and unauthorized substitution.,"9.5.1.2.1 The frequency of periodic POI device inspections and the type of inspections performed is defined in the entity’s targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1. Applicability Notes This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment."
PCI DSS v4.0-9.5.1.3,PCI DSS v4.0,Requirement 9: Restrict Physical Access to Cardholder Data,9.5 Point-of-interaction (POI) devices are protected from tampering and unauthorized substitution.,"9.5.1.3 Training is provided for personnel in POI environments to be aware of attempted tampering or replacement of POI devices, and includes: • Verifying the identity of any third-party persons claiming to be repair or maintenance personnel, before granting them access to modify or troubleshoot devices. • Procedures to ensure devices are not installed, replaced, or returned without verification.  • Being aware of suspicious behavior around devices. • Reporting suspicious behavior and indications of device tampering or substitution to appropriate personnel."
PCI DSS v4.0-10.1.1,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,10.1 Processes and mechanisms for performing activities in Requirement 10 are defined and documented.,10.1.1 All security policies and operational procedures that are identified in Requirement 10 are:  • Documented. • Kept up to date. • In use. • Known to all affected parties.
PCI DSS v4.0-10.1.2,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,10.1 Processes and mechanisms for performing activities in Requirement 10 are defined and documented.,"10.1.2 Roles and responsibilities for performing activities in Requirement 10 are documented, assigned, and understood. New requirement - effective immediately"
PCI DSS v4.0-10.2.1,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,"10.2 Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.",10.2.1 Audit logs are enabled and active for all system components and cardholder data.
PCI DSS v4.0-10.2.1.1,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,"10.2 Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.",10.2.1.1 Audit logs capture all individual user access to cardholder data.
PCI DSS v4.0-10.2.1.2,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,"10.2 Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.","10.2.1.2 Audit logs capture all actions taken by any individual with administrative access, including any interactive use of application or system accounts."
PCI DSS v4.0-10.2.1.3,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,"10.2 Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.",10.2.1.3 Audit logs capture all access to audit logs.
PCI DSS v4.0-10.2.1.4,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,"10.2 Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.",10.2.1.4 Audit logs capture all invalid logical access attempts.
PCI DSS v4.0-10.2.1.5,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,"10.2 Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.","10.2.1.5 Audit logs capture all changes to identification and authentication credentials including, but not limited to: • Creation of new accounts. • Elevation of privileges. • All changes, additions, or deletions to accounts with administrative access."
PCI DSS v4.0-10.2.1.6,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,"10.2 Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.","10.2.1.6 Audit logs capture the following:  • All initialization of new audit logs, and  • All starting, stopping, or pausing of the existing audit logs."
PCI DSS v4.0-10.2.1.7,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,"10.2 Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.",10.2.1.7 Audit logs capture all creation and deletion of system-level objects.
PCI DSS v4.0-10.2.2,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,"10.2 Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.","10.2.2 Audit logs record the following details for each auditable event: • User identification. • Type of event. • Date and time. • Success and failure indication. • Origination of event. • Identity or name of affected data, system component, resource, or service (for example, name and protocol)."
PCI DSS v4.0-10.3.1,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,10.3 Audit logs are protected from destruction and unauthorized modifications.,10.3.1 Read access to audit logs files is limited to those with a job-related need.
PCI DSS v4.0-10.3.2,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,10.3 Audit logs are protected from destruction and unauthorized modifications.,10.3.2 Audit log files are protected to prevent modifications by individuals.
PCI DSS v4.0-10.3.3,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,10.3 Audit logs are protected from destruction and unauthorized modifications.,"10.3.3 Audit log files, including those for external-facing technologies, are promptly backed up to a secure, central, internal log server(s) or other media that is difficult to modify."
PCI DSS v4.0-10.3.4,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,10.3 Audit logs are protected from destruction and unauthorized modifications.,10.3.4 File integrity monitoring or change-detection mechanisms is used on audit logs to ensure that existing log data cannot be changed without generating alerts.
PCI DSS v4.0-10.4.1,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,10.4 Audit logs are reviewed to identify anomalies or suspicious activity.,"10.4.1 The following audit logs are reviewed at least once daily: • All security events.  • Logs of all system components that store, process, or transmit CHD and/or SAD. • Logs of all critical system components. • Logs of all servers and system components that perform security functions (for example, network security controls, intrusion-detection systems/intrusion-prevention systems (IDS/IPS), authentication servers)."
PCI DSS v4.0-10.4.1.1,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,10.4 Audit logs are reviewed to identify anomalies or suspicious activity.,"10.4.1.1 Automated mechanisms are used to perform audit log reviews. Applicability Notes This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment."
PCI DSS v4.0-10.4.2,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,10.4 Audit logs are reviewed to identify anomalies or suspicious activity.,10.4.2 Logs of all other system components (those not specified in Requirement 10.4.1) are reviewed periodically. Applicability Notes This requirement is applicable to all other in-scope system components not included in Requirement 10.4.1.
PCI DSS v4.0-10.4.2.1,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,10.4 Audit logs are reviewed to identify anomalies or suspicious activity.,"10.4.2.1 The frequency of periodic log reviews for all other system components (not defined in Requirement 10.4.1) is defined in the entity’s targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1. Applicability Notes This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment."
PCI DSS v4.0-10.4.3,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,10.4 Audit logs are reviewed to identify anomalies or suspicious activity.,10.4.3 Exceptions and anomalies identified during the review process are addressed.
PCI DSS v4.0-10.5.1,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,10.5 Audit log history is retained and available for analysis.,"10.5.1 Retain audit log history for at least 12 months, with at least the most recent three months immediately available for analysis."
PCI DSS v4.0-10.6.1,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,10.6 Time-synchronization mechanisms support consistent time settings across all systems.,10.6.1 System clocks and time are synchronized using time-synchronization technology.  Applicability Notes Keeping time-synchronization technology current includes managing vulnerabilities and patching the technology according to PCI DSS Requirements 6.3.1 and 6.3.3.
PCI DSS v4.0-10.6.2,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,10.6 Time-synchronization mechanisms support consistent time settings across all systems.,"10.6.2 Systems are configured to the correct and consistent time as follows: • One or more designated time servers are in use. • Only the designated central time server(s) receives time from external sources. • Time received from external sources is based on International Atomic Time or Coordinated Universal Time (UTC). • The designated time server(s) accept time updates only from specific industry-accepted external sources. • Where there is more than one designated time server, the time servers peer with one another to keep accurate time. • Internal systems receive time information only from designated central time server(s)."
PCI DSS v4.0-10.6.3,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,10.6 Time-synchronization mechanisms support consistent time settings across all systems.,"10.6.3 Time synchronization settings and data are protected as follows:  • Access to time data is restricted to only personnel with a business need. • Any changes to time settings on critical systems are logged, monitored, and reviewed."
PCI DSS v4.0-10.7.1,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,"10.7 Failures of critical security control systems are detected, reported, and responded to promptly.","10.7.1 Additional requirement for service providers only: Failures of critical security control systems are detected, alerted, and addressed promptly, including but not limited to failure of the following critical security control systems: • Network security controls  • IDS/IPS  • FIM  • Anti-malware solutions  • Physical access controls  • Logical access controls  • Audit logging mechanisms  • Segmentation controls (if used)  Applicability Notes This requirement applies only when the entity being assessed is a service provider. This requirement will be superseded by Requirement 10.7.2 as of 31 March 2025."
PCI DSS v4.0-10.7.2,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,"10.7 Failures of critical security control systems are detected, reported, and responded to promptly.","10.7.2 Failures of critical security control systems are detected, alerted, and addressed promptly, including but not limited to failure of the following critical security control systems: • Network security controls. • IDS/IPS. • Change-detection mechanisms. • Anti-malware solutions. • Physical access controls. • Logical access controls. • Audit logging mechanisms. • Segmentation controls (if used). • Audit log review mechanisms. • Automated security testing tools (if used). Applicability Notes This requirement applies to all entities, including service providers, and will supersede Requirement 10.7.1 as of 31 March 2025. It includes two additional critical security control systems not in Requirement 10.7.1.  This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment."
PCI DSS v4.0-10.7.3,PCI DSS v4.0,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data,"10.7 Failures of critical security control systems are detected, reported, and responded to promptly.","10.7.3 Failures of any critical security controls systems are responded to promptly, including but not limited to:  • Restoring security functions.  • Identifying and documenting the duration (date and time from start to end) of the security failure.  • Identifying and documenting the cause(s) of failure, and documenting required remediation.  • Identifying and addressing any security issues that arose during the failure.  • Determining whether further actions are required as a result of the security failure.  • Implementing controls to prevent the cause of failure from reoccurring.  • Resuming monitoring of security controls. Applicability Notes This requirement applies only when the entity being assessed is a service provider, until the 31 March 2025, after which this requirement will apply to all entities. This is a current v3.2.1 requirement that applies to service providers only. However, this requirement is a best practice for all other entities until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment."
PCI DSS v4.0-11.1.1,PCI DSS v4.0,Requirement 11: Test Security of Systems and Networks Regularly,11.1 Processes and mechanisms for performing activities in Requirement 11 are defined and understood.,11.1.1 All security policies and operational procedures that are identified in Requirement 11 are:  • Documented.  • Kept up to date. • In use. • Known to all affected parties.
PCI DSS v4.0-11.1.2,PCI DSS v4.0,Requirement 11: Test Security of Systems and Networks Regularly,,"11.1.2 Roles and responsibilities for performing activities in Requirement 11 are documented, assigned, and understood. New requirement - effective immediately"
PCI DSS v4.0-11.2.1,PCI DSS v4.0,Requirement 11: Test Security of Systems and Networks Regularly,"11.2 Wireless access points are identified and monitored, and unauthorized wireless access points are addressed.","11.2.1 Authorized and unauthorized wireless access points are managed as follows: • The presence of wireless (Wi-Fi) access points is tested for,  • All authorized and unauthorized wireless access points are detected and identified,  • Testing, detection, and identification occurs at least once every three months.  • If automated monitoring is used, personnel are notified via generated alerts. Applicability Notes The requirement applies even when a policy exists that prohibits the use of wireless technology since attackers do not read and follow company policy. Methods used to meet this requirement must be sufficient to detect and identify both authorized and unauthorized devices, including unauthorized devices attached to devices that themselves are authorized."
PCI DSS v4.0-11.2,PCI DSS v4.0,Requirement 11: Test Security of Systems and Networks Regularly,"11.2 Wireless access points are identified and monitored, and unauthorized wireless access points are addressed.","11.2 2 An inventory of authorized wireless access points is maintained, including a documented business justification."
PCI DSS v4.0-11.3.1,PCI DSS v4.0,Requirement 11: Test Security of Systems and Networks Regularly,"11.3 External and internal vulnerabilities are regularly identified, prioritized, and addressed.","11.3.1 Internal vulnerability scans are performed as follows:  • At least once every three months. • High-risk and critical vulnerabilities (per the entity’s vulnerability risk rankings defined at Requirement 6.3.1) are resolved. • Rescans are performed that confirm all high-risk and critical vulnerabilities (as noted above) have been resolved. • Scan tool is kept up to date with latest vulnerability information. • Scans are performed by qualified personnel and organizational independence of the tester exists. Applicability Notes It is not required to use a QSA or ASV to conduct internal vulnerability scans. Internal vulnerability scans can be performed by qualified, internal staff that are reasonably independent of the system component(s) being scanned (for example, a network administrator should not be responsible for scanning the network), or an entity may choose to have internal vulnerability scans performed by a firm specializing in vulnerability scanning."
PCI DSS v4.0-11.3.1.1,PCI DSS v4.0,Requirement 11: Test Security of Systems and Networks Regularly,"11.3 External and internal vulnerabilities are regularly identified, prioritized, and addressed.","11.3.1.1 All other applicable vulnerabilities (those not ranked as high-risk or critical (per the entity’s vulnerability risk rankings defined at Requirement 6.3.1) are managed as follows:  • Addressed based on the risk defined in the entity’s targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1. • Rescans are conducted as needed. Applicability Notes The timeframe for addressing lower-risk vulnerabilities is subject to the results of a risk analysis per Requirement 12.3.1 that includes (minimally) identification of assets being protected, threats, and likelihood and/or impact of a threat being realized. This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment."
PCI DSS v4.0-11.3.1.2,PCI DSS v4.0,Requirement 11: Test Security of Systems and Networks Regularly,"11.3 External and internal vulnerabilities are regularly identified, prioritized, and addressed.","11.3.1.2 Internal vulnerability scans are performed via authenticated scanning as follows: • Systems that are unable to accept credentials for authenticated scanning are documented. • Sufficient privileges are used, for those systems that accept credentials for scanning.  • If accounts used for authenticated scanning can be used for interactive login, they are managed in accordance with Requirement 8.2.2.  Applicability Notes The authenticated scanning tools can be either host-based or network-based.  “Sufficient” privileges are those needed to access system resources such that a thorough scan can be conducted that detects known vulnerabilities.  This requirement does not apply to system components that cannot accept credentials for scanning. Examples of systems that may not accept credentials for scanning include some network and security appliances, mainframes, and containers. This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment."
PCI DSS v4.0-11.3.1.3,PCI DSS v4.0,Requirement 11: Test Security of Systems and Networks Regularly,"11.3 External and internal vulnerabilities are regularly identified, prioritized, and addressed.",11.3.1.3 Internal vulnerability scans are performed after any significant change as follows: • High-risk and critical vulnerabilities (per the entity’s vulnerability risk rankings defined at Requirement 6.3.1 are resolved. • Rescans are conducted as needed. • Scans are performed by qualified personnel and organizational independence of the tester exists (not required to be a QSA or ASV).  Applicability Notes Authenticated internal vulnerability scanning per Requirement 11.3.1.2 is not required for scans performed after significant changes.
PCI DSS v4.0-11.3.2,PCI DSS v4.0,Requirement 11: Test Security of Systems and Networks Regularly,"11.3 External and internal vulnerabilities are regularly identified, prioritized, and addressed.","11.3.2 External vulnerability scans are performed as follows: • At least once every three months. • By a PCI SSC Approved Scanning Vendor (ASV).  • Vulnerabilities are resolved and ASV Program Guide requirements for a passing scan are met. • Rescans are performed as needed to confirm that vulnerabilities are resolved per the ASV Program Guide requirements for a passing scan. Applicability Notes For initial PCI DSS compliance, it is not required that four passing scans be completed within 12 months if the assessor verifies: 1) the most recent scan result was a passing scan, 2) the entity has documented policies and procedures requiring scanning at least once every three months, and 3) vulnerabilities noted in the scan results have been corrected as shown in a re-scan(s).  (continued on next page) However, for subsequent years after the initial PCI DSS assessment, passing scans at least every three months must have occurred. ASV scanning tools can scan a vast array of network types and topologies. Any specifics about the target environment (for example, load balancers, third-party providers, ISPs, specific configurations, protocols in use, scan interference) should be worked out between the ASV and scan customer. Refer to the ASV Program Guide published on the PCI SSC website for scan customer responsibilities, scan preparation, etc."
PCI DSS v4.0-11.3.2.1,PCI DSS v4.0,Requirement 11: Test Security of Systems and Networks Regularly,"11.3 External and internal vulnerabilities are regularly identified, prioritized, and addressed.",11.3.2.1 External vulnerability scans are performed after any significant change as follows: • Vulnerabilities that are scored 4.0 or higher by the CVSS are resolved. • Rescans are conducted as needed. • Scans are performed by qualified personnel and organizational independence of the tester exists (not required to be a QSA or ASV).
